hour,from_station,to_station,line,direction,passenger_count,capacity_utilization_percent
6,159,158,5,backward,9909,137.62
6,159,160,5,forward,435,6.04
6,160,159,5,backward,9735,135.21
6,160,161,5,forward,426,5.92
6,161,160,5,backward,9663,134.21
6,161,162,5,forward,282,3.92
6,162,161,5,backward,6024,83.67
6,162,163,5,forward,222,3.08
6,163,162,5,backward,5622,78.08
6,164,163,5,backward,60,0.83
6,106,185,6,forward,4656,83.14
6,106,61,6,backward,2706,48.32
6,136,216,6,backward,2253,40.23
6,136,61,6,forward,6879,122.84
6,185,106,6,backward,4779,85.34
6,185,63,6,forward,2919,52.12
6,216,136,6,forward,6189,110.52
6,216,59,6,backward,1779,31.77
6,232,64,6,backward,6831,121.98
6,232,65,6,forward,1260,22.5
6,242,57,6,backward,285,5.09
6,242,59,6,forward,4392,78.43
6,54,55,6,forward,906,16.18
6,55,54,6,backward,93,1.66
6,55,56,6,forward,1587,28.34
6,56,55,6,backward,156,2.79
6,56,57,6,forward,2604,46.5
6,57,242,6,forward,3594,64.18
6,57,56,6,backward,234,4.18
6,59,216,6,forward,5334,95.25
6,59,242,6,backward,1758,31.39
6,61,106,6,forward,6900,123.21
6,61,136,6,backward,2703,48.27
6,63,185,6,backward,6348,113.36
6,63,64,6,forward,2637,47.09
6,64,232,6,forward,2148,38.36
6,64,63,6,backward,6810,121.61
6,65,232,6,backward,6246,111.54
6,65,66,6,forward,1179,21.05
6,66,65,6,backward,6204,110.79
6,66,67,6,forward,1041,18.59
6,67,66,6,backward,5916,105.64
6,67,68,6,forward,954,17.04
6,68,67,6,backward,5640,100.71
6,68,69,6,forward,345,6.16
6,69,68,6,backward,4713,84.16
6,69,70,6,forward,285,5.09
6,70,69,6,backward,4083,72.91
6,70,71,6,forward,273,4.88
6,71,70,6,backward,3174,56.68
6,71,72,6,forward,180,3.21
6,72,71,6,backward,2589,46.23
6,72,73,6,forward,66,1.18
6,73,72,6,backward,1392,24.86
6,73,74,6,forward,27,0.48
6,74,73,6,backward,480,8.57
6,114,241,7,forward,1329,23.73
6,114,247,7,backward,855,15.27
6,128,209,7,backward,2934,52.39
6,128,234,7,forward,762,13.61
6,209,128,7,forward,825,14.73
6,209,233,7,backward,2484,44.36
6,225,226,7,forward,381,6.8
6,226,225,7,backward,441,7.88
6,226,228,7,forward,771,13.77
6,228,226,7,backward,1188,21.21
6,228,230,7,forward,1005,17.95
6,230,228,7,backward,2109,37.66
6,230,231,7,forward,1014,18.11
6,231,230,7,backward,2451,43.77
6,231,232,7,forward,1026,18.32
6,232,231,7,backward,2508,44.79
6,232,233,7,forward,801,14.3
6,233,209,7,forward,1002,17.89
6,233,232,7,backward,2310,41.25
6,234,128,7,backward,2787,49.77
6,234,236,7,forward,1146,20.46
6,236,234,7,backward,2442,43.61
6,236,237,7,forward,1827,32.62
6,237,236,7,backward,1806,32.25
6,237,238,7,forward,2370,42.32
6,238,237,7,backward,1290,23.04
6,238,247,7,forward,2619,46.77
6,239,241,7,backward,1320,23.57
6,239,242,7,forward,1239,22.12
6,241,114,7,backward,1365,24.38
6,241,239,7,forward,1260,22.5
6,242,239,7,backward,1185,21.16
6,242,243,7,forward,237,4.23
6,243,242,7,backward,2046,36.54
6,243,244,7,forward,249,4.45
6,244,243,7,backward,1563,27.91
6,244,245,7,forward,207,3.7
6,245,244,7,backward,1092,19.5
6,247,114,7,forward,2613,46.66
6,247,238,7,backward,918,16.39
7,100,101,1,forward,6966,41.46
7,100,99,1,backward,8355,59.68
7,101,100,1,backward,9243,66.02
7,101,102,1,forward,7047,41.95
7,102,101,1,backward,10647,76.05
7,102,103,1,forward,7098,42.25
7,103,102,1,backward,10872,77.66
7,103,104,1,forward,7569,45.05
7,104,103,1,backward,13590,97.07
7,104,105,1,forward,8202,48.82
7,105,104,1,backward,16683,119.16
